fraction_c   (sigma_c)^2/N_c      (sigma_r)^2/N_r      (sigma_all)^2/N_all  deta_r               deta_r - 1           pearson             
0.85         1.8908518E+00        3.5115835E+00        1.1435123E+00        4.5867796E-01        -5.4132204E-01       -5.4162908E-01      
0.86         1.8887660E+00        3.1685401E+00        1.2304032E+00        5.0703367E-01        -4.9296633E-01       -4.9330776E-01      
0.87         1.9195595E+00        2.8622437E+00        1.3040390E+00        5.3238222E-01        -4.6761778E-01       -4.6803320E-01      
0.88         1.9535456E+00        2.6739725E+00        1.3926848E+00        5.6569552E-01        -4.3430448E-01       -4.3474517E-01      
0.89         2.0051131E+00        2.4786377E+00        1.4740773E+00        5.8223086E-01        -4.1776914E-01       -4.1826387E-01      
0.90         2.0268613E+00        2.2353066E+00        1.5382974E+00        6.0485570E-01        -3.9514430E-01       -3.9569465E-01      
0.91         2.0468461E+00        2.0789330E+00        1.6119699E+00        6.2969375E-01        -3.7030625E-01       -3.7087385E-01      
0.92         2.1283071E+00        1.8461127E+00        1.7307059E+00        6.5393461E-01        -3.4606539E-01       -3.4667566E-01      
0.93         2.0826162E+00        1.6496553E+00        1.7596138E+00        6.9001743E-01        -3.0998257E-01       -3.1058117E-01      
0.94         2.0582513E+00        1.4227621E+00        1.8097226E+00        7.4064438E-01        -2.5935562E-01       -2.5993624E-01      
0.95         2.1156688E+00        1.3057173E+00        1.9034954E+00        7.6044266E-01        -2.3955734E-01       -2.4013863E-01      
0.96         2.1510302E+00        1.0927031E+00        1.9894395E+00        8.0058561E-01        -1.9941439E-01       -1.9998214E-01      
0.97         2.2189151E+00        8.9390892E-01        2.1088831E+00        8.4884729E-01        -1.5115271E-01       -1.5169190E-01      
0.98         2.2320344E+00        7.3246755E-01        2.1689847E+00        9.0487611E-01        -9.5123890E-02       -9.5571814E-02      
0.99         2.3508155E+00        5.6862347E-01        2.3219293E+00        9.4967079E-01        -5.0329208E-02       -5.0678318E-02      
1.00         2.3951652E+00        None                 2.3951652E+00        None                 None                 None                
